dataset,preprocessing,method,classifier,OA,macroF1,kappa,n_bands
salinas,SG_SNV,ALL_BANDS,SVM-RBF,0.9177325581395349,0.9357910478713141,0.9085069364499834,204
salinas,SG_SNV,ALL_BANDS,RF,0.9074127906976744,0.9096724068436906,0.8968266172041918,204
salinas,SG_SNV,BOSS,SVM-RBF,0.9214389534883721,0.9607236410569061,0.9126585911660342,37
salinas,SG_SNV,BOSS,RF,0.9058139534883721,0.9100518901065175,0.8950705135541577,37
salinas,SG_SNV,CARS,SVM-RBF,0.9172601744186046,0.9557960413071436,0.9080053016618127,26
salinas,SG_SNV,CARS,RF,0.9004360465116279,0.9025781057534012,0.8890668073088392,26
salinas,SG_SNV,GA-iPLS,SVM-RBF,0.9269985465116279,0.9637611624722202,0.9188318688504266,88
salinas,SG_SNV,GA-iPLS,RF,0.9042151162790698,0.9042312305134035,0.8932974002340668,88
salinas,SG_SNV,GA-iPLS_BOSS,SVM-RBF,0.9191860465116279,0.9575321316818239,0.9101431397224167,50
salinas,SG_SNV,GA-iPLS_BOSS,RF,0.9044331395348837,0.9121406131032758,0.8935183555086259,50
salinas,SG_SNV,FCovSel,SVM-RBF,0.9173328488372093,0.9554485103098549,0.9080781738575809,20
salinas,SG_SNV,FCovSel,RF,0.9080305232558139,0.9153620947072808,0.8975244193041428,20
salinas,SG_MSC,ALL_BANDS,SVM-RBF,0.9304142441860465,0.9625764147045257,0.922540919691799,204
salinas,SG_MSC,ALL_BANDS,RF,0.9187136627906977,0.9519289842885872,0.9093760336512052,204
salinas,SG_MSC,BOSS,SVM-RBF,0.9279796511627907,0.9613570387548406,0.9198523000312635,128
salinas,SG_MSC,BOSS,RF,0.9167514534883721,0.9503419083117497,0.9071863093658807,128
salinas,SG_MSC,CARS,SVM-RBF,0.9165334302325582,0.9560117473956892,0.9071976065267624,41
salinas,SG_MSC,CARS,RF,0.911264534883721,0.9457083815234067,0.9010850112855847,41
salinas,SG_MSC,GA-iPLS,SVM-RBF,0.9235101744186046,0.9610114327867086,0.9150031013224624,86
salinas,SG_MSC,GA-iPLS,RF,0.9153343023255814,0.9504659930710941,0.9056441435007875,86
salinas,SG_MSC,GA-iPLS_BOSS,SVM-RBF,0.9065406976744186,0.9446953418025252,0.8961560839427914,16
salinas,SG_MSC,GA-iPLS_BOSS,RF,0.909375,0.9430880183910879,0.8989820536134727,16
salinas,SG_MSC,FCovSel,SVM-RBF,0.9183866279069768,0.9563698975364008,0.9091938518848761,20
salinas,SG_MSC,FCovSel,RF,0.9163880813953489,0.9487603049688877,0.9068090940726722,20
salinas,SG1_SNV,ALL_BANDS,SVM-RBF,0.9317587209302326,0.9620067744820271,0.9241095410885158,204
salinas,SG1_SNV,ALL_BANDS,RF,0.9123546511627907,0.910760843257169,0.9023627419100018,204
salinas,SG1_SNV,BOSS,SVM-RBF,0.9245639534883721,0.9609464320597636,0.916106234487638,39
salinas,SG1_SNV,BOSS,RF,0.9073401162790697,0.8956827642930738,0.896781700306214,39
salinas,SG1_SNV,CARS,SVM-RBF,0.9285610465116279,0.9624616633562929,0.9205525305634387,91
salinas,SG1_SNV,CARS,RF,0.9094476744186046,0.9030731216605903,0.8990691821249892,91
salinas,SG1_SNV,GA-iPLS,SVM-RBF,0.9283066860465117,0.9612143492726217,0.9202632673095215,108
salinas,SG1_SNV,GA-iPLS,RF,0.9096656976744186,0.9042373663844105,0.8993409702836879,108
salinas,SG1_SNV,GA-iPLS_BOSS,SVM-RBF,0.920639534883721,0.9555478738105232,0.9117556561010636,33
salinas,SG1_SNV,GA-iPLS_BOSS,RF,0.9036700581395349,0.8936877819337384,0.8926731109770247,33
salinas,SG1_SNV,FCovSel,SVM-RBF,0.9198037790697674,0.9589169664369851,0.9108488829247592,20
salinas,SG1_SNV,FCovSel,RF,0.9069404069767442,0.903082693686861,0.8963387551217976,20
salinas,SG1_MSC,ALL_BANDS,SVM-RBF,0.9224200581395349,0.9468545570050038,0.9136726433022961,204
salinas,SG1_MSC,ALL_BANDS,RF,0.9223837209302326,0.9522947969063721,0.91352164470949,204
salinas,SG1_MSC,BOSS,SVM-RBF,0.9163880813953489,0.9540532331297007,0.9070216774999063,15
salinas,SG1_MSC,BOSS,RF,0.9196584302325581,0.94784912589316,0.9104827193794013,15
salinas,SG1_MSC,CARS,SVM-RBF,0.918859011627907,0.9573392112297474,0.9097442423414656,33
salinas,SG1_MSC,CARS,RF,0.9192950581395349,0.9509509048817126,0.9100356734441098,33
salinas,SG1_MSC,GA-iPLS,SVM-RBF,0.9245276162790698,0.9575358778983069,0.9160433240233617,96
salinas,SG1_MSC,GA-iPLS,RF,0.9197674418604651,0.9499569529100702,0.9105840794887134,96
salinas,SG1_MSC,GA-iPLS_BOSS,SVM-RBF,0.9236918604651163,0.9579652181440609,0.9151128947091027,56
salinas,SG1_MSC,GA-iPLS_BOSS,RF,0.9177688953488372,0.9478515301119059,0.9083579222791224,56
salinas,SG1_MSC,FCovSel,SVM-RBF,0.9184956395348837,0.9574833147688245,0.9093455976680194,20
salinas,SG1_MSC,FCovSel,RF,0.9181686046511628,0.9472308709550676,0.9088297652631515,20
indian_pines,SG_SNV,ALL_BANDS,SVM-RBF,0.8662802318608834,0.8312047830912408,0.8474806332251832,200
indian_pines,SG_SNV,ALL_BANDS,RF,0.8273036178293024,0.7911130393678243,0.8012192576431926,200
indian_pines,SG_SNV,BOSS,SVM-RBF,0.8291025384769138,0.8241570675947015,0.8062636906987377,46
indian_pines,SG_SNV,BOSS,RF,0.802518488906656,0.7728514291284467,0.7725064048911066,46
indian_pines,SG_SNV,CARS,SVM-RBF,0.8159104537277634,0.825666821022836,0.7917443447184409,47
indian_pines,SG_SNV,CARS,RF,0.8119128522886269,0.7797537583312371,0.7828884685461447,47
indian_pines,SG_SNV,GA-iPLS,SVM-RBF,0.854087547471517,0.8392567307203933,0.8342162568196125,100
indian_pines,SG_SNV,GA-iPLS,RF,0.8143114131521088,0.7893454374479987,0.7860845586475507,100
indian_pines,SG_SNV,GA-iPLS_BOSS,SVM-RBF,0.839296422146712,0.8468822864581697,0.8178038334187376,59
indian_pines,SG_SNV,GA-iPLS_BOSS,RF,0.8161103337997202,0.7929431540476879,0.7881433634001638,59
indian_pines,SG_SNV,FCovSel,SVM-RBF,0.7655406755946432,0.762190652149457,0.7354955247799575,20
indian_pines,SG_SNV,FCovSel,RF,0.7953228063162103,0.7567073159069222,0.7643453933161786,20
indian_pines,SG_MSC,ALL_BANDS,SVM-RBF,0.8336997801319208,0.7966694168455014,0.8110247516726652,200
indian_pines,SG_MSC,ALL_BANDS,RF,0.8281031381171298,0.8044133450538208,0.8022370037769386,200
indian_pines,SG_MSC,BOSS,SVM-RBF,0.8408954627223666,0.8245674104013722,0.8193627528357557,129
indian_pines,SG_MSC,BOSS,RF,0.8269038576853888,0.805177126234564,0.8006821599409785,129
indian_pines,SG_MSC,CARS,SVM-RBF,0.7805316809914051,0.8043494763117229,0.7523989044474538,43
indian_pines,SG_MSC,CARS,RF,0.827703377973216,0.8228548627775529,0.8015341735230928,43
indian_pines,SG_MSC,GA-iPLS,SVM-RBF,0.8352988207075754,0.8323824868449361,0.813229418263111,90
indian_pines,SG_MSC,GA-iPLS,RF,0.8249050569658205,0.8047865211169762,0.7983638619703497,90
indian_pines,SG_MSC,GA-iPLS_BOSS,SVM-RBF,0.8275034979012592,0.8271632015877242,0.804598517857698,56
indian_pines,SG_MSC,GA-iPLS_BOSS,RF,0.8261043373975615,0.795586033466927,0.7996218392266119,56
indian_pines,SG_MSC,FCovSel,SVM-RBF,0.7587447531481112,0.737239434348015,0.7274615906139446,19
indian_pines,SG_MSC,FCovSel,RF,0.7873276034379373,0.747982627841483,0.7549392823317596,19
indian_pines,SG1_SNV,ALL_BANDS,SVM-RBF,0.8556865880471717,0.7679229265895285,0.8354563514505391,200
indian_pines,SG1_SNV,ALL_BANDS,RF,0.8293024185488707,0.8098024932794521,0.8036508689672921,200
indian_pines,SG1_SNV,BOSS,SVM-RBF,0.704977013791725,0.637886693432112,0.6670211051020962,9
indian_pines,SG1_SNV,BOSS,RF,0.7289626224265441,0.6250670016205709,0.6878813942783584,9
indian_pines,SG1_SNV,CARS,SVM-RBF,0.322606436138317,0.2789927487957058,0.25677899209528365,4
indian_pines,SG1_SNV,CARS,RF,0.3853687787327603,0.2612058620825385,0.29202015669761505,4
indian_pines,SG1_SNV,GA-iPLS,SVM-RBF,0.8528882670397762,0.7875374759550354,0.8325951249925951,98
indian_pines,SG1_SNV,GA-iPLS,RF,0.8271037377573456,0.7999026093460453,0.8011850443532532,98
indian_pines,SG1_SNV,GA-iPLS_BOSS,SVM-RBF,0.605036977813312,0.6151634497391867,0.5582535579592667,7
indian_pines,SG1_SNV,GA-iPLS_BOSS,RF,0.6969818109134519,0.6129020437850504,0.6507200867905241,7
indian_pines,SG1_SNV,FCovSel,SVM-RBF,0.7977213671796922,0.778264947256103,0.7710279258018171,20
indian_pines,SG1_SNV,FCovSel,RF,0.7849290425744553,0.7661963635539326,0.752244946330833,20
indian_pines,SG1_MSC,ALL_BANDS,SVM-RBF,0.8638816709974015,0.7864398815136079,0.8445939279641054,200
indian_pines,SG1_MSC,ALL_BANDS,RF,0.834699180491705,0.815171776509227,0.8100319216708085,200
indian_pines,SG1_MSC,BOSS,SVM-RBF,0.6402158704777133,0.624095663700157,0.5955355213178569,10
indian_pines,SG1_MSC,BOSS,RF,0.6905856486108335,0.5968381314854003,0.6432878260675315,10
indian_pines,SG1_MSC,CARS,SVM-RBF,0.6618029182490506,0.6581217860806121,0.6200881576056748,10
indian_pines,SG1_MSC,CARS,RF,0.6811912852288626,0.6558146955135268,0.6330624175805177,10
indian_pines,SG1_MSC,GA-iPLS,SVM-RBF,0.8502898261043373,0.7882946834534814,0.829463924440432,72
indian_pines,SG1_MSC,GA-iPLS,RF,0.825504697181691,0.8113483729847839,0.7995363322523508,72
indian_pines,SG1_MSC,GA-iPLS_BOSS,SVM-RBF,0.714171497101739,0.6515791025291702,0.6774090276449798,10
indian_pines,SG1_MSC,GA-iPLS_BOSS,RF,0.757745352788327,0.6797350948860428,0.7209809690603433,10
